,x,y,z
178,-15.304469,7.5976562,-8.6618805
179,7.5090175,4.862138,19.142363
180,-16.477085,-21.457928,32.12103
181,17.584848,-19.63989,-15.344166
182,36.971027,-4.095284,11.538205
183,15.606094,-6.6169786,-8.3638315
184,20.095627,5.5498614,2.182929
185,-3.6476438,12.126935,-14.641785
186,10.275845,26.852787,6.168332
187,2.0058138,-6.7214985,8.76796
188,9.618367,-17.183239,21.54269
189,-18.187965,-18.909317,-2.918703
190,-19.52813,-33.301796,3.4372303
191,-12.108864,-14.03079,-20.327364
192,10.350318,20.57378,-7.513199
193,7.956584,14.278597,-24.315853
194,-17.721329,5.478413,11.096742
195,-0.17686574,3.313517,1.817204
196,-7.777573,22.710054,-33.91046
197,13.804421,22.60008,25.543715
198,-2.51416,4.555235,22.511631
199,17.387255,-18.139978,-8.580692
200,-15.788747,-22.495924,30.763897
201,-17.141424,-16.931787,19.636303
202,16.955292,1.9831889,-27.30218
203,38.279083,0.1784845,3.6589465
204,-11.855969,8.968717,-16.401987
205,-16.062222,26.412674,-31.930353
206,-15.138271,-15.681553,17.610222
207,27.587452,-19.614573,-2.3372445
208,-18.725483,24.847761,-20.257515
209,-14.008402,47.974613,-0.028258977
210,-14.530745,-19.131687,32.098007
211,7.7318153,-0.92242295,-32.593838
212,13.808475,-21.164627,23.188833
213,12.636592,12.803132,-5.787372
214,23.530771,3.8035758,-6.4184127
215,-16.473034,18.024834,-11.845981
216,12.448645,-25.19215,-3.1834803
217,-7.2426023,7.717924,-27.603447
218,-10.640964,17.642443,-3.4075222
219,-11.974262,0.55987406,24.708132
220,-16.2897,-17.397388,24.142765
221,-6.8066993,6.112739,-9.925299
222,16.36616,-15.809276,-13.634634
223,8.483392,-14.620315,14.790053
224,1.3844835,-22.503935,10.030473
225,-12.502215,19.711428,-12.045336
226,15.47125,3.6603885,-6.193472
227,37.01234,-0.13260536,-2.195318
228,-22.35044,19.452969,-20.835299
229,-24.585997,9.741876,-15.640767
230,-18.911016,9.115159,-18.63675
231,12.601557,-26.609407,22.188585
232,-14.221865,-24.815504,22.40732
233,3.077343,19.236443,13.673145
234,-5.326227,-19.925114,5.4662576
235,24.142498,2.0710876,18.958305
236,26.6103,9.178933,15.476266
237,-10.721551,-12.326143,26.921541
238,1.8305936,-13.520948,-6.3723283
239,-29.281101,-2.9564364,-14.153461
240,-8.808854,16.565855,16.904133
241,-15.43111,25.553408,7.0425906
242,33.107117,20.278492,2.230666
243,7.65067,-19.939287,-12.989892
244,10.471656,8.98713,-27.122536
245,-14.600749,-21.662165,-14.850233
246,-10.829056,-11.062904,-10.541498
247,-12.789157,-1.6949285,25.941084
248,-2.7088718,-9.13512,-5.6883903
249,15.430738,3.8335288,-15.291026
250,37.91156,-11.178679,-1.6107299
251,31.266071,-8.932548,-6.6424017
252,6.6117163,-10.977283,-2.9660482
253,26.38455,0.78731555,19.040539
254,13.6844635,-29.088474,4.8811727
255,-30.093102,-5.580622,-18.082834
256,-24.481638,4.869592,-21.124285
257,10.986222,-25.492073,20.593441
258,-7.7468224,6.7220826,5.0234876
259,-8.026414,0.7867522,23.875416
260,1.8293862,13.677935,14.704644
261,-20.06503,6.597657,-9.203756
262,14.024652,4.403817,-4.8218794
263,12.039478,-24.395506,25.740791
264,-9.73722,-36.727432,-0.6803596
265,14.003214,-8.744444,1.1810979
266,-7.3781905,7.873308,14.601943
267,2.0863798,0.7016689,-24.306421
268,17.113136,-24.256458,-9.715252
269,-17.83861,-2.2456932,-8.984881
270,20.466208,1.8982192,15.519074
271,-16.841623,22.880877,12.42908
272,-1.9000169,0.8572037,19.561386
273,-3.7839448,26.704887,-5.998619
274,-1.5053972,-22.660082,-6.574497
275,13.273637,-26.53774,-8.516276
276,-10.796975,-22.411123,-10.635948
277,22.323582,-0.38021696,4.8240566
278,8.285538,24.303787,-11.677753
279,17.110855,15.272332,29.872622
280,15.552925,-12.867816,17.768402
281,33.492973,-12.181229,-3.9964132
282,6.159846,21.94159,6.667857
283,-29.955585,-0.19912644,-28.53499
284,13.168266,13.763383,23.75362
285,26.372797,-26.507025,-1.799275
286,16.853456,11.415949,15.342108
287,22.16563,-22.355858,-4.3077607
288,-11.348223,-9.685331,-8.316825
289,-2.9885135,25.729084,-29.152538
290,-13.715655,9.3336735,1.8346304
291,9.215337,-16.495558,16.802593
292,23.729286,12.099347,13.894272
293,-13.378932,8.133611,11.22488
294,7.452014,0.010921461,-29.779932
295,-12.304313,-36.13235,-3.556488
296,22.25197,-4.899029,-7.584014
297,-25.86452,1.4100558,-20.840664
298,15.2731495,-27.393446,-10.043423
