group,path,filename,a_number
1,data/wamex_xml/a085255_p27_1732_2009a_12115685.json,a085255_p27_1732_2009a_12115685.json,85255
1,data/wamex_xml/a075827_argylenorth_a3_imagebooklet_14787185.json,a075827_argylenorth_a3_imagebooklet_14787185.json,75827
1,data/wamex_xml/a081426_final surrender minerals exploration report e70 3045_15363616.json,a081426_final surrender minerals exploration report e70 3045_15363616.json,81426
1,data/wamex_xml/a075660_bibliographic data sheet p52_1078_14232218.json,a075660_bibliographic data sheet p52_1078_14232218.json,75660
1,data/wamex_xml/a077434_appendix_1_woodline_well_resource_nov07_17464792.json,a077434_appendix_1_woodline_well_resource_nov07_17464792.json,77434
1,data/wamex_xml/a073074_cnjv_nrh_ar2006_nickel_15881703.json,a073074_cnjv_nrh_ar2006_nickel_15881703.json,73074
1,data/wamex_xml/a081578_figure 1 e57-685 tenure.pdf_16153084.json,a081578_figure 1 e57-685 tenure.pdf_16153084.json,81578
1,data/wamex_xml/a081060_p38-3340 a09_17008445.json,a081060_p38-3340 a09_17008445.json,81060
1,data/wamex_xml/a081853_2008-09harrisfind_verificationreport_14329204.json,a081853_2008-09harrisfind_verificationreport_14329204.json,81853
1,data/wamex_xml/a077102_co_2007a_16251597.json,a077102_co_2007a_16251597.json,77102
1,data/wamex_xml/a073247_a73247_12025297.json,a073247_a73247_12025297.json,73247
1,data/wamex_xml/a077371_c155_07a_17084318.json,a077371_c155_07a_17084318.json,77371
1,data/wamex_xml/a085395_c160_207_2009a_14920663.json,a085395_c160_207_2009a_14920663.json,85395
1,data/wamex_xml/a085531_rothsay annual verification report 2009_11296219.json,a085531_rothsay annual verification report 2009_11296219.json,85531
1,data/wamex_xml/a084206_cn_c143_2008_2009a_verification report_12053541.json,a084206_cn_c143_2008_2009a_verification report_12053541.json,84206
1,data/wamex_xml/a078059_randalls - annual report_15996720.json,a078059_randalls - annual report_15996720.json,78059
1,data/wamex_xml/a078966_rf_a_2007_11519005.json,a078966_rf_a_2007_11519005.json,78966
1,data/wamex_xml/a073944_tr1203_a_2006_15969483.json,a073944_tr1203_a_2006_15969483.json,73944
1,data/wamex_xml/a081096_e63_931_2008a_17385775.json,a081096_e63_931_2008a_17385775.json,81096
1,data/wamex_xml/a085338_caz_pil_c257_2008_2009an_15123721.json,a085338_caz_pil_c257_2008_2009an_15123721.json,85338
1,data/wamex_xml/a081125_e08_1407_2008a_16506093.json,a081125_e08_1407_2008a_16506093.json,81125
1,data/wamex_xml/a081384_e51_844_2009a. pdf_11181619.json,a081384_e51_844_2009a. pdf_11181619.json,81384
1,data/wamex_xml/a084222_cashmere downs  surrender reports e57-644 & 646 2009_14689467.json,a084222_cashmere downs  surrender reports e57-644 & 646 2009_14689467.json,84222
1,data/wamex_xml/a085202_m29_189_atr_2009_14238628.json,a085202_m29_189_atr_2009_14238628.json,85202
1,data/wamex_xml/a080717_pender 100k dod dem and tenure_16402629.json,a080717_pender 100k dod dem and tenure_16402629.json,80717
1,data/wamex_xml/a077807_e47-1015_ps2008_14833227.json,a077807_e47-1015_ps2008_14833227.json,77807
1,data/wamex_xml/a076932_e80_2389 2007a_14087599.json,a076932_e80_2389 2007a_14087599.json,76932
1,data/wamex_xml/a085918_file verification report c22_2009a_12879870.json,a085918_file verification report c22_2009a_12879870.json,85918
1,data/wamex_xml/a084808_weldrange_annual report_0809_16890051.json,a084808_weldrange_annual report_0809_16890051.json,84808
1,data/wamex_xml/a075003_annual 2007 e51_1106_17282091.json,a075003_annual 2007 e51_1106_17282091.json,75003
1,data/wamex_xml/a084170_e37_704_2009p_13999180.json,a084170_e37_704_2009p_13999180.json,84170
1,data/wamex_xml/a081348_throssel e38_1648 annual report 2008 korab_15903489.json,a081348_throssel e38_1648 annual report 2008 korab_15903489.json,81348
1,data/wamex_xml/a084009_e39_592_2009p_13947137.json,a084009_e39_592_2009p_13947137.json,84009
1,data/wamex_xml/a076779_verification_e59-1072_15078916.json,a076779_verification_e59-1072_15078916.json,76779
1,data/wamex_xml/a084293_dar_2009a_9992795.json,a084293_dar_2009a_9992795.json,84293
1,data/wamex_xml/a080856_text p28.1027 2008_15393823.json,a080856_text p28.1027 2008_15393823.json,80856
1,data/wamex_xml/a080013_c51_2006_2008a_14991985.json,a080013_c51_2006_2008a_14991985.json,80013
1,data/wamex_xml/a084345_c106_2007_2009a_14373229.json,a084345_c106_2007_2009a_14373229.json,84345
1,data/wamex_xml/a080572_geological legend_14751631.json,a080572_geological legend_14751631.json,80572
1,data/wamex_xml/a075889_e09_1250_2007a_17463122.json,a075889_e09_1250_2007a_17463122.json,75889
1,data/wamex_xml/a081631_c130_2006_2009a_15094235.json,a081631_c130_2006_2009a_15094235.json,81631
1,data/wamex_xml/a080512_e46_690_2008a_12339298.json,a080512_e46_690_2008a_12339298.json,80512
1,data/wamex_xml/a074647_comb ann report 2007 nth parker range_12151757.json,a074647_comb ann report 2007 nth parker range_12151757.json,74647
1,data/wamex_xml/a084290_p59-1856_atr 2009_10615504.json,a084290_p59-1856_atr 2009_10615504.json,84290
1,data/wamex_xml/a079604_p15_4782_2008a_15306990.json,a079604_p15_4782_2008a_15306990.json,79604
1,data/wamex_xml/a082698_wy_e08-1190 _s2009_14741465.json,a082698_wy_e08-1190 _s2009_14741465.json,82698
1,data/wamex_xml/a074797_c92_2005_a07_15031361.json,a074797_c92_2005_a07_15031361.json,74797
1,data/wamex_xml/a073249_e15791_2006a_16396370.json,a073249_e15791_2006a_16396370.json,73249
1,data/wamex_xml/a085321_nar_a_2009_11561873.json,a085321_nar_a_2009_11561873.json,85321
1,data/wamex_xml/a075723_c32_1993_2007a_15914170.json,a075723_c32_1993_2007a_15914170.json,75723
1,data/wamex_xml/a077286_crl_comannualrep_c160_2007_17882779.json,a077286_crl_comannualrep_c160_2007_17882779.json,77286
1,data/wamex_xml/a081210_wh_ann_tech_2008_14073108.json,a081210_wh_ann_tech_2008_14073108.json,81210
1,data/wamex_xml/a076155_pg_2007a _verification_10199593.json,a076155_pg_2007a _verification_10199593.json,76155
1,data/wamex_xml/a080726_e51_1142_2008a_18783229.json,a080726_e51_1142_2008a_18783229.json,80726
1,data/wamex_xml/a082451_p09_424 verification list_13958220.json,a082451_p09_424 verification list_13958220.json,82451
1,data/wamex_xml/a084719_c54_2009 annual report 2008_2009_11392560.json,a084719_c54_2009 annual report 2008_2009_11392560.json,84719
1,data/wamex_xml/a085861_p38_3188_3190_burtville_2009s_verification_10340936.json,a085861_p38_3188_3190_burtville_2009s_verification_10340936.json,85861
1,data/wamex_xml/a072267_p37_6316_2006a_16868453.json,a072267_p37_6316_2006a_16868453.json,72267
1,data/wamex_xml/a078379_verification report_2008_c162_1996_maroochydore_17113859.json,a078379_verification report_2008_c162_1996_maroochydore_17113859.json,78379
1,data/wamex_xml/a082592_verification p46_1454_10549379.json,a082592_verification p46_1454_10549379.json,82592
1,data/wamex_xml/a076042_microsoft word - cockburn cement limited_11173232.json,a076042_microsoft word - cockburn cement limited_11173232.json,76042
1,data/wamex_xml/a073264_red billabong combined annual report-2006_10343038.json,a073264_red billabong combined annual report-2006_10343038.json,73264
1,data/wamex_xml/a084754_verification_report_atr_2009_c104_2001_12642783.json,a084754_verification_report_atr_2009_c104_2001_12642783.json,84754
1,data/wamex_xml/a076560_e70_2790_9582939.json,a076560_e70_2790_9582939.json,76560
1,data/wamex_xml/a084596_vb_2009a_14667110.json,a084596_vb_2009a_14667110.json,84596
1,data/wamex_xml/a085792_woodie_rockcodes_15386423.json,a085792_woodie_rockcodes_15386423.json,85792
1,data/wamex_xml/a085500_p28_1047_cr34639 fr_ver_15644485.json,a085500_p28_1047_cr34639 fr_ver_15644485.json,85500
1,data/wamex_xml/a077775_data verification2007a_16416841.json,a077775_data verification2007a_16416841.json,77775
1,data/wamex_xml/a085972_kunann2009_10445028.json,a085972_kunann2009_10445028.json,85972
1,data/wamex_xml/a074486_c87_2006_2006a_11048732.json,a074486_c87_2006_2006a_11048732.json,74486
1,data/wamex_xml/a078089_c93_2006_2007a_9728708.json,a078089_c93_2006_2007a_9728708.json,78089
1,data/wamex_xml/a076595_p243952_2005-2007a_final_071129_10888409.json,a076595_p243952_2005-2007a_final_071129_10888409.json,76595
1,data/wamex_xml/a078068_annual report_2007_ironx_15730145.json,a078068_annual report_2007_ironx_15730145.json,78068
1,data/wamex_xml/a077724_combined annual report c5_2003 lake carey 032008_15470706.json,a077724_combined annual report c5_2003 lake carey 032008_15470706.json,77724
1,data/wamex_xml/a080324_p28.1017 2008 text_12364909.json,a080324_p28.1017 2008 text_12364909.json,80324
1,data/wamex_xml/a073926_yilgarrie_2006 relinq_report-1700_13798747.json,a073926_yilgarrie_2006 relinq_report-1700_13798747.json,73926
1,data/wamex_xml/a074888_e69_2610_2006a_11058749.json,a074888_e69_2610_2006a_11058749.json,74888
1,data/wamex_xml/a084952_ives find annual report_12077242.json,a084952_ives find annual report_12077242.json,84952
1,data/wamex_xml/a085961_annual report 2009_12232795.json,a085961_annual report 2009_12232795.json,85961
1,data/wamex_xml/a081297_cc_2008 pr_verification listing form_10362552.json,a081297_cc_2008 pr_verification listing form_10362552.json,81297
1,data/wamex_xml/a084589_mt angelo_m80_247_2009a_11740730.json,a084589_mt angelo_m80_247_2009a_11740730.json,84589
1,data/wamex_xml/a085941_c74_2004_2009a_10890700.json,a085941_c74_2004_2009a_10890700.json,85941
1,data/wamex_xml/a077415_plumridge combined report 2007_16727369.json,a077415_plumridge combined report 2007_16727369.json,77415
1,data/wamex_xml/a074223_figure 1_9743945.json,a074223_figure 1_9743945.json,74223
2,data/wamex_xml/a081752_anrep2008eraheedy2103_15107355.json,a081752_anrep2008eraheedy2103_15107355.json,81752
2,data/wamex_xml/a075210_buck_a_ el12_1_2007_11292066.json,a075210_buck_a_ el12_1_2007_11292066.json,75210
2,data/wamex_xml/a080379_e80_2574_08atr_12876104.json,a080379_e80_2574_08atr_12876104.json,80379
2,data/wamex_xml/a084512_rbb_2009_e5101206_12945465.json,a084512_rbb_2009_e5101206_12945465.json,84512
2,data/wamex_xml/a072786_carlow castle 2005a c453-1996_14242581.json,a072786_carlow castle 2005a c453-1996_14242581.json,72786
2,data/wamex_xml/a073040_verification table cr06_17299748.json,a073040_verification table cr06_17299748.json,73040
2,data/wamex_xml/a084319_ml_2009s_10945669.json,a084319_ml_2009s_10945669.json,84319
2,data/wamex_xml/a077743_tz_p37_5650_report_2008a_11676018.json,a077743_tz_p37_5650_report_2008a_11676018.json,77743
2,data/wamex_xml/a080351_e631042_doir submitted_2007_2008_17608203.json,a080351_e631042_doir submitted_2007_2008_17608203.json,80351
2,data/wamex_xml/a079911_el52-1723 peak hill_a_2008_verification_listing_9649367.json,a079911_el52-1723 peak hill_a_2008_verification_listing_9649367.json,79911
2,data/wamex_xml/a084687_e47_1489_2009a_10521108.json,a084687_e47_1489_2009a_10521108.json,84687
2,data/wamex_xml/a073511_annual report  e74.316  (2006)_16038577.json,a073511_annual report  e74.316  (2006)_16038577.json,73511
2,data/wamex_xml/a084212_annual report e59_853_2009a_11572819.json,a084212_annual report e59_853_2009a_11572819.json,84212
2,data/wamex_xml/a080293_e39-1229 annual nov08-2_11745851.json,a080293_e39-1229 annual nov08-2_11745851.json,80293
2,data/wamex_xml/a081897_e31-636_figure_2_11814899.json,a081897_e31-636_figure_2_11814899.json,81897
2,data/wamex_xml/a082532_cl_ 2008a_15366624.json,a082532_cl_ 2008a_15366624.json,82532
