,x,y
593,-95.406265,-119.73606
594,-8.92242,-120.65066
595,-131.99619,-45.861755
596,14.638575,120.91158
597,12.383098,119.4297
598,71.77567,53.873306
599,25.741045,104.31758
600,-0.98952675,-45.338303
601,-37.45488,6.891618
602,31.10722,104.72578
603,-28.876024,-7.2497096
604,-93.53651,-114.189835
605,27.459269,70.58959
606,123.250946,59.476257
607,26.879332,-49.226643
608,159.91162,14.114588
609,48.137665,-36.368862
610,111.8373,-3.8827088
611,-71.95147,-33.91359
612,-21.49645,-53.162437
613,-33.856724,78.90435
614,-47.301884,-14.479467
615,-80.913925,-61.80403
616,-72.653625,48.067657
617,95.94935,1.5214188
618,165.1232,-4.0616617
619,92.34093,-51.904804
620,108.93,110.52969
621,40.459366,50.638374
622,66.108955,43.66721
623,-115.31724,13.169401
624,-2.3559706,-63.148743
625,-80.166435,-41.99243
626,-54.260685,37.36161
627,81.38393,61.92434
628,-77.67704,48.83421
629,58.74056,114.8474
630,63.02195,40.047085
631,96.40933,109.96139
632,31.156736,-76.26427
633,149.27977,70.5177
634,26.593182,102.59273
635,28.87162,108.99921
636,54.124275,28.428303
637,126.18046,67.001526
638,35.194805,-37.627266
639,-108.29896,104.753494
640,19.606451,66.62478
641,-46.748707,-76.21688
642,-25.979712,-109.50738
643,-46.80597,31.005499
644,-98.77768,-88.72478
645,-99.302895,-67.2975
646,118.06038,85.73705
647,65.22543,-75.78009
648,-49.054913,-46.545395
649,-121.88746,-58.9058
650,90.90068,27.096006
651,-56.029778,25.195763
652,-26.781073,-151.32751
653,4.869502,93.683334
654,-132.3233,-66.1533
655,-111.33534,-37.993187
656,85.875984,17.087711
657,154.11742,12.454747
658,-77.80935,51.457733
659,11.662304,-127.985825
660,-85.40613,68.507805
661,93.984955,-21.418941
662,-92.47696,-78.44851
663,109.950966,24.31333
664,78.84914,-47.72588
665,21.264193,21.789446
666,-138.65529,73.26301
667,70.37715,83.141846
668,-111.70756,-73.25373
669,-98.02283,23.759293
670,-13.630141,135.27165
671,-37.30741,-66.011345
672,-114.272705,-73.679634
673,-95.40035,-119.41444
674,-13.402616,41.924557
675,-62.70953,-106.666405
676,14.469687,119.26545
677,-101.949974,-124.51372
678,-116.36177,48.408825
679,-22.287882,14.734499
680,-94.25823,26.443958
681,-15.133467,-153.77452
682,-7.9651527,130.02814
683,21.708204,-90.08767
684,-64.00055,28.465477
685,-15.529604,-74.65472
686,84.29217,109.24911
687,-45.38385,-39.016376
688,85.2994,111.36237
689,-12.808375,-1.9362702
690,-95.64039,-120.719215
691,-24.635508,-27.288355
692,162.35461,11.4564
693,-14.49934,-92.814224
694,6.1539598,-50.248077
695,-93.973976,-49.378162
696,-116.207146,-7.05982
697,52.3576,-48.98857
698,81.73861,-9.966073
699,-87.89683,-25.129597
700,-23.238373,-104.17828
701,-9.658152,9.57402
