filename,anumber,report_type,sentence_count,prop,length
a071986_e47_1155_2006a_14816165.json,71986,Annual,42,0.5476190476190474,23
a071990_c5_2003_2005a_14360217.json,71990,Annual,254,0.5275590551181099,134
a071993_carbine_2006_17753291.json,71993,Annual,45,0.4888888888888889,22
a072009_ems833_2006s_17021086.json,72009,Final Surrender,44,0.34090909090909094,15
a072010_cb939_2006s_11220809.json,72010,Final Surrender,76,0.5921052631578947,45
a072011_ann rep_12923336.json,72011,Annual,121,0.6033057851239672,73
a072012_nwr_combined_annual_report_2005_17243443.json,72012,Annual,128,0.796875,102
a072013_rh_a_2005_17997936.json,72013,Annual,142,0.5774647887323939,82
a072014_tr1183_a_2006_18229085.json,72014,Annual,84,0.3214285714285714,27
a072015_tr1184 _a_2006_18170871.json,72015,Annual,211,0.5071090047393362,107
a072015_tr1184 _verification report_18163116.json,72015,Annual,22,0.5,11
a072016_c12_2005_2006a_11988849.json,72016,Annual,756,0.5753968253968249,435
a072018_tr299 menzies annual report 2005_17406499.json,72018,Annual,118,0.5084745762711863,60
a072019_tr300 annual report m29_212 2006_11221586.json,72019,Annual,74,0.4054054054054055,30
a072020_goldenvalley_ann_05_11276734.json,72020,Annual,294,0.3163265306122451,93
a072021_absth_ann_05_10583736.json,72021,Annual,94,0.4999999999999999,47
a072026_tr1185_a_2006_14298338.json,72026,Annual,469,0.3710021321961618,174
a072033_combined ann nth parker range 2006_12162347.json,72033,Annual,180,0.6499999999999998,117
a072037_p58_1114_2006a_10088046.json,72037,Annual,18,0.7777777777777777,14
a072043_k095-3 tommy well ann 2006 - 6347_14341186.json,72043,Annual,99,0.21212121212121213,21
a072045_oc_a_2005pdf_18414503.json,72045,Annual,123,0.2764227642276423,34
a072048_e52_1529_2005a_17168536.json,72048,Annual,131,0.5954198473282444,78
a072051_e70_2635_2005a_14999377.json,72051,Annual,25,0.76,19
a072053_a72053_17136886.json,72053,Annual,122,0.3688524590163935,45
a072054_c213-1995 a05_12379145.json,72054,Annual,304,0.48684210526315824,148
a072055_e_80_2561_2005p_17818172.json,72055,Partial Surrender,119,0.4537815126050422,54
a072058_gardner annual report_11828822.json,72058,Annual,584,0.5291095890410968,309
a072059_p52-1041-1042_2005a_12884828.json,72059,Annual,84,0.33333333333333326,28
a072063_nor_ki_06_2_12113137.json,72063,Annual,273,0.5824175824175823,159
a072067_e47-1206 report feb06_14633423.json,72067,Non-statutory,82,0.35365853658536583,29
a072069_appendix 9 napier_ellendale_annual_report_2006 c127_2000_15717350.json,72069,Annual,108,0.30555555555555564,33
a072070_yg3_2005a_16466624.json,72070,Annual,87,0.25287356321839083,22
a072071_yg4_2005a_9808588.json,72071,Annual,108,0.2685185185185185,29
